code;about;price;photo;in_stock
TAC1200454;ريشة حديد 4.5 مم موديل HSS4341 ماركة TOTAL;0.35;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200454.png;yes
TAC1200501;ريشة حديد 5 مم طول 86 مم موديل M2 ماركةTOTAL (( صناعي )) موديل حديث;0.61;;no
TAC1200504;ريشة حديد 5 مم موديل HSS4341 ماركة TOTAL;0.39;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200504.png;yes
TAC1200554;ريشة حديد 5.5 مم موديل HSS4341 ماركة TOTAL;0.43;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200554.png;yes
TAC1200601;ريشة حديد 6 ملم موديل M2 ماركة TOTAL;0.75;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200601.png;yes
TAC1200604;ريشة حديد 6 مم موديل HSS4341 ماركة TOTAL;0.48;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200604.png;yes
TAC1200651;ريشة حديد 6.5 مم موديل M2 ماركةTOTAL  موديل حديث;0.94;;no
TAC1200654;ريشة حديد 6.5 مم موديل HSS4341 ماركة TOTAL;0.57;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200654.png;yes
TAC1200701;ريشة حديد 7 مم موديل M2 ماركةTOTAL موديل حديث;1.12;;no
TAC1200704;ريشة حديد 7 مم موديل HSS4341 ماركة TOTAL;0.68;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200704.png;yes
TAC1200751;ريشة حديد 7.5 مم موديل M2 ماركةTOTAL موديل حديث;1.26;;no
TAC1200754;ريشة حديد 7.5 مم موديل HSS4341 ماركة TOTAL;0.73;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200754.png;yes
TAC1200801;ريشة حديد 8 مم موديل M2 ماركة TOTAL;1.43;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200801.png;yes
TAC1200804;ريشة حديد 8 مم موديل HSS4341 ماركة TOTAL;0.82;https://hawarastore.com/wp-content/uploads/2025/08/TAC1200804.png;yes
TAC1200851;ريشة حديد 8.5 مم موديل M2 ماركةTOTAL موديل حديث;1.62;;no
TAC1200854;ريشة حديد 8.5 مم موديل 4341 HSS ماركة TOTAL;0.89;;no
TAC1200904;ريشة حديد 9 مم موديل 4341 HSS ماركة TOTAL;1.01;;no
TAC1200954;ريشة حديد 9.5 مم HSS 4341 موديل TOTAL;1.1;;no
TAC1201004;ريشة حديد 10 مم موديل( HSS4341) ماركة TOTAL;1.27;https://hawarastore.com/wp-content/uploads/2025/08/TAC1201004.png;yes
TAC1201051;ريشة حديد 10.5 مم موديل M2 ماركة TOTAL موديل حديث;2.48;https://hawarastore.com/wp-content/uploads/2026/02/TAC1201051.png;yes
TAC1201101;ريشة حديد 11 مم موديل M2 ماركةTOTAL موديل حديث;2.83;;no
TAC1201204;ريشة حديد 12 مم موديل HSS4341 ماركة TOTAL;1.47;https://hawarastore.com/wp-content/uploads/2025/08/TAC1201204.png;yes
TAC130614;نصلة منشار شلة بطارية 20 فولت حديث صناعي لزوم TBSLI20127 ماركة TOTAL;7.43;https://hawarastore.com/wp-content/uploads/2025/08/TAC130614.png;yes
TAC131401;ريشة حفر خشب 14 مم TOTAL;1.66;https://hawarastore.com/wp-content/uploads/2024/05/TAC131401.png;yes
TAC1511141;ازميل SDS - PLUS ( 14 × 0 × 250 ) شوكة (( صناعي )) TOTAL;1.03;https://hawarastore.com/wp-content/uploads/2024/03/TAC1511141-1024x1024.png;yes
TAC15121411;ازميل SDS - PLUS ( 14 × 20 × 250 ) (( صناعي )) TOTAL;1.01;https://hawarastore.com/wp-content/uploads/2025/08/TAC15121411.png;yes
TAC15121412;ازميل SDS - PLUS ( 14 × 40 × 250 ) (( صناعي )) TOTAL;1.29;https://hawarastore.com/wp-content/uploads/2025/08/TAC15121412.png;yes
TAC1521181;ازميل SDS - MAX ( 18 × 0 × 300 ) شوكة (( صناعي )) TOTAL;2.07;https://hawarastore.com/wp-content/uploads/2025/08/TAC1521181.png;yes
TAC1521182;ازميل SDS - MAX ( 18 × 0 × 400 ) شوكة (( صناعي )) TOTAL;2.67;https://hawarastore.com/wp-content/uploads/2025/08/TAC1521182.png;yes
TAC1521183;ازميل SDS - MAX ( 18 × 0 × 600 ) شوكة (( صناعي )) TOTAL;4.17;https://hawarastore.com/wp-content/uploads/2024/05/TAC1521181-2.png;no
TAC15221821;ازميل SDS - MAX ( 18 × 25 × 400 ) (( صناعي )) TOTAL;2.67;https://hawarastore.com/wp-content/uploads/2025/08/TAC15221821.png;yes
TAC15221822;ازميل SDS - MAX ( 18 × 50 × 400 ) (( صناعي )) TOTAL;3.14;https://hawarastore.com/wp-content/uploads/2024/05/TAC15221821-1.png;yes
TAC15221832;ازميل SDS - MAX ( 18 × 50 × 600 ) (( صناعي )) TOTAL;4.55;https://hawarastore.com/wp-content/uploads/2025/08/TAC15221832.png;yes
TAC1531282;ازميل HEX كسارة شوارع ( 28 × 530 مم ) شوكة (( صناعي )) TOTAL;14.23;https://hawarastore.com/wp-content/uploads/2024/05/TAC153171.png;yes
TAC1531301;ازميل HEX كسارة ( 30 × 0 × 410 ) شوكة لزوم كسارة 1700 واط (( صناعي )) TOTAL;9.98;https://hawarastore.com/wp-content/uploads/2025/08/TAC1531301.png;no
TAC153171;ازميل HEX كسارة ( 17 × 0 × 280 ) شوكة لزوم كسارة 1300 واط TOTAL;1.71;https://hawarastore.com/wp-content/uploads/2025/08/TAC153171.png;yes
TAC153172;ازميل HEX كسارة ( 17 × 22× 280 ) مبسط لزوم كسارة 1300 واط TOTAL;1.7;https://hawarastore.com/wp-content/uploads/2025/08/TAC153172.png;no
TAC1532282;ازميل HEX كسارة شوارع ( 28 × 35 × 530 مم ) (( صناعي )) TOTAL;14.23;https://hawarastore.com/wp-content/uploads/2024/05/TAC153171.png;no
TAC1532301;ازميل HEX كسارة ( 30 × 35 × 410 ) مبسط لزوم كسارة 1700 واط TOTAL;9.98;https://hawarastore.com/wp-content/uploads/2024/05/TAC153171.png;no
TAC1532302;ازميل HEX كسارة ( 100× 410 × 30) مبسط لزوم كسارة 1700 واط TOTAL;14.33;https://hawarastore.com/wp-content/uploads/2025/08/TAC1532302.png;yes
